Country,Year,GDP,PPI,CPI,M2,ExchangeRate
Australia,2023,1613.8894435475308,3.4127856258204146,3.2587717359492743,2074.9614173098107,0.6955731297729988
Spain,2021,1427.982027770167,-0.8331150690045008,0.040467218047557374,2314.02175828718,0.9837957758309485
Spain,2022,1573.2634888989658,3.954343883773487,7.7825897768378915,2297.570177017935,0.9418667036293011
Spain,2023,,-1.8670820463445061,,2452.975374074345,1.0903239357056143
Mexico,2021,1300.5469642730072,1.773033590665904,9.732395706375751,2486.3388508692033,18.66855722210508
Mexico,2022,1486.1006604604877,2.4573087548454353,1.3798800490055674,2363.7508608338835,19.312127165054598
Mexico,2023,1531.0625406744625,3.7019885117399447,3.794077303517925,2151.1111316263723,20.762993472583425
Indonesia,2021,1294.0904540145507,,7.01044369524685,3675.8231109064004,14990.015895826009
Indonesia,2022,1403.2688486356737,4.4387022878133235,9.780628831705627,3472.7487626434768,14379.878986615766
Indonesia,2023,1272.746337737689,3.8025606372382086,9.074472350096068,3906.5934750547503,14068.657543789272
Netherlands,2021,1140.3728048806136,-1.8790630491606701,6.307396270983826,1685.9708858750282,0.9978369361184161
Netherlands,2022,1095.971702222466,2.4927814744290444,9.059557903133422,1739.857836890909,0.9020948280769132
Netherlands,2023,1026.6000588464276,2.9110642292272395,0.16285319492689854,1979.5542109429934,0.945984446582871
Turkey,2021,970.6016152555001,-1.094405894720222,1.2468077973878944,1737.6995605486827,22.773051369979402
Turkey,2022,835.366094874891,1.438136437587556,3.946528776635624,1884.192527191462,25.519124308632772
Turkey,2023,927.4034850090577,4.462460744166405,3.261865112244892,1624.4437493520513,28.769673521119532
Switzerland,2021,,-0.7023906543356437,8.700918025848189,1434.1351304549435,0.973856173633607
Switzerland,2022,869.3234336736109,-0.46792521882012905,3.08858984862296,1037.7901065445772,
Switzerland,2023,969.3456402531821,0.28769734497095945,4.51011400630723,1229.523023950547,0.9578896820541775
Saudi Arabia,2021,986.9393805119449,4.7825047398958365,8.917005996108825,746.7290391597826,3.75
Saudi Arabia,2022,960.4192223917727,4.660638087712375,9.492445965476362,519.2394187465087,3.75
Saudi Arabia,2023,996.2225125559967,0.5630803816937071,5.59690015057112,630.3545352559713,3.75
Argentina,2021,481.51547984498774,-0.9026507507988428,,979.8400765188225,216.03007812914007
Argentina,2022,404.05567496251285,2.658396542534474,4.40219901523057,864.0155396700695,262.33595162491656
Argentina,2023,443.5912950114621,-0.29764643046137373,2.2808085742124273,1146.7046602257108,291.8043295113283
